dataset,seq_len,num_variates,num_classes,num_train,num_test
BasicMotions,100,6,4,40,40
CharacterTrajectories,119,3,20,1422,1436
Cricket,1197,6,12,108,72
ElectricDevices,96,1,7,8926,7711
Epilepsy,206,3,4,137,138
HandMovementDirection,400,10,4,160,74
Handwriting,152,3,26,150,850
Haptics,1092,1,5,155,308
Heartbeat,405,61,2,204,205
JapaneseVowels,26,12,9,270,370
LSST,36,6,14,2459,2466
PenDigits,8,2,10,7494,3498
PhonemeSpectra,217,11,39,3315,3353
SelfRegulationSCP1,896,6,2,268,293
SharePriceIncrease,60,1,2,965,966
SpokenArabicDigits,93,13,10,6599,2199
Strawberry,235,1,2,613,370
UWaveGestureLibrary,315,3,8,120,320
WalkingSittingStanding,206,3,6,7352,2947

